IP,OpenPorts,Software,OperatingSystem,Details,Message
192.168.1.69,"71,389,732,553,250,500,000",Apache,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.182,"23,364,677",MySQL,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.134,"710,870,325,827,569",PostgreSQL,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.202,2000,Apache,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.184,"43,143,699",PostgreSQL,Ubuntu 20.04,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.60,5357,PHP,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.254,"87,496,669,431,914,600,000",OpenSSH,Red Hat Enterprise Linux,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.101,"7,356,920,628,278,150",OpenSSH,CentOS 7,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.27,"89,274,810",Apache,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.216,4199,PHP,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.130,"532,550,267,117",PostgreSQL,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.156,"512,889,494,610",MySQL,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.86,3607,PHP,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.159,661,MySQL,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.22,2475,PostgreSQL,CentOS 7,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.64,"197,586,394,810",Apache,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.165,"734,016,883,229",OpenSSH,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.103,"8,278,862,598,725,930,000",MySQL,Ubuntu 20.04,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.40,"34,589,070",Apache,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.160,"786,9067,7418,4340,99",PHP,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.68,"18,846,938,164",PostgreSQL,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.127,"93,581,971",Apache,Red Hat Enterprise Linux,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.245,"298,540,374,499,840",Nginx,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.236,"238,070,199,887",PostgreSQL,Debian 11,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.36,"7,744,687,135,242,080",Node.js,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.166,"71,118,718,296",Node.js,CentOS 7,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.197,"5,568,710,952,972,470",OpenSSH,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.146,"8,998,047,988,425,370,000",PHP,Red Hat Enterprise Linux,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.170,"47,593,093,207",Node.js,Windows Server 2019,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.127,"236,283,381,239",Apache,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.129,"833,096,333,946",Apache,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.154,"9,097,442,546,635,750",Apache,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.13,"2,751,119,238,630,690,000",Nginx,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.116,"407,971,466,431",Node.js,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.49,"11,291,793",Node.js,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.149,"500,990,185,721,676",MySQL,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.79,"32,086,334,859,459,100,000",PHP,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.253,"7,994,877,185,197,650",Nginx,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.34,"44,787,641",PostgreSQL,CentOS 7,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.28,"61,256,482",OpenSSH,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.244,6794,Nginx,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.178,"215,816,532,019,457",PostgreSQL,Ubuntu 20.04,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.44,4968,OpenSSH,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.165,"95,147,829,707,479,400,000",Apache,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.235,"2,262,251,883,488,510,000",MySQL,Windows Server 2019,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.32,"56,861,185,676,611,100,000",OpenSSH,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.79,"3,536,466,430,635,610",OpenSSH,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.119,"898,791,423,006,480",OpenSSH,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.81,"30,575,092,737,740,400,000",MySQL,Ubuntu 20.04,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.172,"19,824,585",OpenSSH,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.201,"31,767,317,209,162,000,000",OpenSSH,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.214,6339,PHP,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.80,"29,827,466,742",MySQL,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.139,8948,OpenSSH,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.174,869,PostgreSQL,CentOS 7,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.209,"200,952,119,914,910,000",PostgreSQL,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.123,"27,697,456",Apache,CentOS 7,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.213,"1,871,938,245,504,220",MySQL,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.52,6832,OpenSSH,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.49,"4,956,513,188,419,160",PHP,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.156,"2,144,206,023,146,470",OpenSSH,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.187,"170,221,882,376",Nginx,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.178,"562,421,554,525",Apache,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.238,"45,964,908",MySQL,Ubuntu 20.04,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.68,"25,319,877",Node.js,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.39,"10,728,715,261,166,000,000",MySQL,CentOS 7,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.210,"25,708,687",OpenSSH,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.175,"44,569,957,339",Nginx,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.28,"75,988,501",PHP,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.236,"940,332,526,610",OpenSSH,CentOS 7,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.192,"771,508,624,986,307",Node.js,CentOS 7,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.205,"6,053,985,018,383,970",Nginx,CentOS 7,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.146,9395,OpenSSH,Debian 11,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.235,"66,466,283",Apache,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.249,2581,PHP,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.184,"991,385,734,341",Nginx,Debian 11,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.205,"67,899,608",Nginx,Red Hat Enterprise Linux,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.208,"43,044,873,958",Nginx,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.12,"85,619,168,959,957,300,000",Nginx,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.65,"630,657,604,971",OpenSSH,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.76,"4,164,761,975",Node.js,Debian 11,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.193,"4,950,766,529,177,020",Node.js,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.17,"2,368,528,832,701,810",PHP,Red Hat Enterprise Linux,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.71,"69,396,188",PostgreSQL,CentOS 7,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.93,4840,MySQL,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.110,"8,638,574,319,363,270",PHP,Windows Server 2019,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.173,"7,018,803,429,841,520",Apache,Windows Server 2019,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.84,"19,909,985",Nginx,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.109,"488,550,651,098",PostgreSQL,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.162,"473,575,151,553",Nginx,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.71,"2,744,301,983,632,870",Nginx,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.128,4879,PHP,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.248,"99,013,608",Node.js,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.89,"166,930,617,718",PostgreSQL,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.144,"7195,4406,31,125,403",OpenSSH,CentOS 7,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.249,3094,Nginx,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.176,"758,565,483,595",Node.js,CentOS 7,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.121,"2,658,189,388,061,820,000",OpenSSH,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.110,"600,572,011,353,941",Node.js,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.165,"79,816,097",Nginx,CentOS 7,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.16,"6,114,797,664,892,730",Nginx,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.173,"67,381,354",MySQL,Red Hat Enterprise Linux,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.78,"54,107,835,705,137,300,000",MySQL,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.88,9495,PHP,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.188,"84,997,992,539,386,400,000",Apache,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.145,"140,977,152,904,982",PHP,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.215,"29,827,205,114",Apache,Debian 11,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.165,"191,164,564,214",Node.js,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.20,"192,318,601,505",MySQL,Red Hat Enterprise Linux,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.78,"15,879,600,551,750,900,000",OpenSSH,Windows Server 2019,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.231,"529,184,746,600",PHP,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.128,"91,559,351,467",OpenSSH,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.27,284,Node.js,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.139,"51,588,026",PHP,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.31,"4,481,998,068,921,330",MySQL,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.150,"29,309,169,755,190,500,000",OpenSSH,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.183,"60,285,947,766,877,300,000",PostgreSQL,Ubuntu 20.04,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.125,"707,069,299,092",MySQL,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.159,"3,779,702,988,786,240",Node.js,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.26,"58,873,468",Nginx,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.59,"58,315,636",OpenSSH,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.206,"85,678,758",PostgreSQL,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.9,"5,224,505",Node.js,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.208,"81,129,787",Apache,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.212,"5,154,223,187,579,150",MySQL,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.153,193,PHP,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.218,"275,592,593,943",Apache,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.151,"9,937,834,377,605,950",PHP,CentOS 7,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.16,"1,118,330,680,613,580,000",Apache,CentOS 7,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.189,"15,175,919",Apache,CentOS 7,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.75,"12,736,106",Apache,Red Hat Enterprise Linux,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.247,"6889,37,7435",PostgreSQL,Red Hat Enterprise Linux,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.129,"8,404,994,189,194,630",PHP,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.26,"7,909,768",PostgreSQL,Red Hat Enterprise Linux,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.236,"69,184,681",PHP,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.115,"4,173,466,962,333,600",PHP,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.5,"636,484,457,743,738",PostgreSQL,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.3,"47,791,961,596,677,700,000",PHP,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.10,"24,893,217,942,766,600,000",PHP,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.250,"8,299,261",OpenSSH,Ubuntu 20.04,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.230,"3,345,980,050,967,180",OpenSSH,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.228,"6,568,935,443,323,630,000",Node.js,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.122,"41,506,989",PostgreSQL,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
