[2025-04-04 20:44:07] ID: 1, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.238, Ports: [1 753 367], Software: OpenSSH, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 27, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.204, Ports: [364 182 535 418], Software: PHP, OS: CentOS 7
[2025-04-04 20:44:07] ID: 28, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.171, Ports: [51 756 94], Software: OpenSSH, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 29, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.167, Ports: [81 3 203], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 30, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.149, Ports: [295 364 573 495], Software: Node.js, OS: CentOS 7
[2025-04-04 20:44:07] ID: 31, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.227, Ports: [2 597 662 721 305 570], Software: OpenSSH, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 32, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.110, Ports: [4 476 746 791 343 930 0], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 33, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.150, Ports: [53 157 169 639 531 700 0], Software: Node.js, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 34, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.42, Ports: [85 954 955], Software: PHP, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 35, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.192, Ports: [1 961 451 114 721 70], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 36, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.73, Ports: [5478], Software: PostgreSQL, OS: CentOS 7
[2025-04-04 20:44:07] ID: 37, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.155, Ports: [12 164 518], Software: Node.js, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 38, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.226, Ports: [7946], Software: Apache, OS: Debian 11
[2025-04-04 20:44:07] ID: 39, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.132, Ports: [9 895 846 931 249 860 0], Software: Node.js, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 40, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.184, Ports: [554 664 674 919], Software: Apache, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 41, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.171, Ports: [85 145 704], Software: Node.js, OS: CentOS 7
[2025-04-04 20:44:07] ID: 42, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.19, Ports: [775 850 823 563], Software: OpenSSH, OS: CentOS 7
[2025-04-04 20:44:07] ID: 43, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.69, Ports: [71 389 732 553 250 500 0], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 44, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.182, Ports: [23 364 677], Software: MySQL, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 45, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.134, Ports: [710 870 325 827 569], Software: PostgreSQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 46, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.202, Ports: [2000], Software: Apache, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 47, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.184, Ports: [43 143 699], Software: PostgreSQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 48, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.60, Ports: [5357], Software: PHP, OS: Debian 11
[2025-04-04 20:44:07] ID: 49, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.254, Ports: [87 496 669 431 914 600 0], Software: OpenSSH, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 50, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.101, Ports: [7 356 920 628 278 150], Software: OpenSSH, OS: CentOS 7
[2025-04-04 20:44:07] ID: 51, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.27, Ports: [89 274 810], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 52, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.216, Ports: [4199], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 53, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.130, Ports: [532 550 267 117], Software: PostgreSQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 54, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.156, Ports: [512 889 494 610], Software: MySQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 55, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.86, Ports: [3607], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 56, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.159, Ports: [661], Software: MySQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 57, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.22, Ports: [2475], Software: PostgreSQL, OS: CentOS 7
[2025-04-04 20:44:07] ID: 58, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.64, Ports: [197 586 394 810], Software: Apache, OS: CentOS 7
[2025-04-04 20:44:07] ID: 59, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.165, Ports: [734 16 883 229], Software: OpenSSH, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 60, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.103, Ports: [8 278 862 598 725 930 0], Software: MySQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 61, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.40, Ports: [34 589 70], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 62, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.160, Ports: [786 9067 7418 4340 99], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 63, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.68, Ports: [18 846 938 164], Software: PostgreSQL, OS: CentOS 7
[2025-04-04 20:44:07] ID: 64, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.127, Ports: [93 581 971], Software: Apache, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 65, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.245, Ports: [298 540 374 499 840], Software: Nginx, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 66, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.236, Ports: [238 70 199 887], Software: PostgreSQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 67, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.36, Ports: [7 744 687 135 242 80], Software: Node.js, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 68, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.166, Ports: [71 118 718 296], Software: Node.js, OS: CentOS 7
[2025-04-04 20:44:07] ID: 69, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.197, Ports: [5 568 710 952 972 470], Software: OpenSSH, OS: Debian 11
[2025-04-04 20:44:07] ID: 70, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.146, Ports: [8 998 47 988 425 370 0], Software: PHP, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 71, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.170, Ports: [47 593 93 207], Software: Node.js, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 72, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.127, Ports: [236 283 381 239], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 73, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.129, Ports: [833 96 333 946], Software: Apache, OS: Debian 11
[2025-04-04 20:44:07] ID: 74, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.154, Ports: [9 97 442 546 635 750], Software: Apache, OS: Debian 11
[2025-04-04 20:44:07] ID: 75, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.13, Ports: [2 751 119 238 630 690 0], Software: Nginx, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 76, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.116, Ports: [407 971 466 431], Software: Node.js, OS: CentOS 7
[2025-04-04 20:44:07] ID: 77, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.49, Ports: [11 291 793], Software: Node.js, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 78, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.149, Ports: [500 990 185 721 676], Software: MySQL, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 79, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.79, Ports: [32 86 334 859 459 100 0], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 80, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.253, Ports: [7 994 877 185 197 650], Software: Nginx, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 81, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.34, Ports: [44 787 641], Software: PostgreSQL, OS: CentOS 7
[2025-04-04 20:44:07] ID: 82, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.28, Ports: [61 256 482], Software: OpenSSH, OS: Debian 11
[2025-04-04 20:44:07] ID: 83, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.244, Ports: [6794], Software: Nginx, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 84, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.178, Ports: [215 816 532 19 457], Software: PostgreSQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 85, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.44, Ports: [4968], Software: OpenSSH, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 86, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.165, Ports: [95 147 829 707 479 400 0], Software: Apache, OS: Debian 11
[2025-04-04 20:44:07] ID: 87, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.235, Ports: [2 262 251 883 488 510 0], Software: MySQL, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 88, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.32, Ports: [56 861 185 676 611 100 0], Software: OpenSSH, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 89, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.79, Ports: [3 536 466 430 635 610], Software: OpenSSH, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 90, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.119, Ports: [898 791 423 6 480], Software: OpenSSH, OS: CentOS 7
[2025-04-04 20:44:07] ID: 91, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.81, Ports: [30 575 92 737 740 400 0], Software: MySQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 92, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.172, Ports: [19 824 585], Software: OpenSSH, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 93, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.201, Ports: [31 767 317 209 162 0 0], Software: OpenSSH, OS: Debian 11
[2025-04-04 20:44:07] ID: 94, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.214, Ports: [6339], Software: PHP, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 95, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.80, Ports: [29 827 466 742], Software: MySQL, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 96, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.139, Ports: [8948], Software: OpenSSH, OS: Debian 11
[2025-04-04 20:44:07] ID: 97, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.174, Ports: [869], Software: PostgreSQL, OS: CentOS 7
[2025-04-04 20:44:07] ID: 98, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.209, Ports: [200 952 119 914 910 0], Software: PostgreSQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 99, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.123, Ports: [27 697 456], Software: Apache, OS: CentOS 7
[2025-04-04 20:44:07] ID: 100, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.213, Ports: [1 871 938 245 504 220], Software: MySQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 101, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.52, Ports: [6832], Software: OpenSSH, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 102, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.49, Ports: [4 956 513 188 419 160], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 103, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.156, Ports: [2 144 206 23 146 470], Software: OpenSSH, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 104, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.187, Ports: [170 221 882 376], Software: Nginx, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 105, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.178, Ports: [562 421 554 525], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 106, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.238, Ports: [45 964 908], Software: MySQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 107, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.68, Ports: [25 319 877], Software: Node.js, OS: Debian 11
[2025-04-04 20:44:07] ID: 108, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.39, Ports: [10 728 715 261 166 0 0], Software: MySQL, OS: CentOS 7
[2025-04-04 20:44:07] ID: 109, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.210, Ports: [25 708 687], Software: OpenSSH, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 110, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.175, Ports: [44 569 957 339], Software: Nginx, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 111, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.28, Ports: [75 988 501], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 112, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.236, Ports: [940 332 526 610], Software: OpenSSH, OS: CentOS 7
[2025-04-04 20:44:07] ID: 113, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.192, Ports: [771 508 624 986 307], Software: Node.js, OS: CentOS 7
[2025-04-04 20:44:07] ID: 114, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.205, Ports: [6 53 985 18 383 970], Software: Nginx, OS: CentOS 7
[2025-04-04 20:44:07] ID: 115, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.146, Ports: [9395], Software: OpenSSH, OS: Debian 11
[2025-04-04 20:44:07] ID: 116, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.235, Ports: [66 466 283], Software: Apache, OS: Debian 11
[2025-04-04 20:44:07] ID: 117, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.249, Ports: [2581], Software: PHP, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 118, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.184, Ports: [991 385 734 341], Software: Nginx, OS: Debian 11
[2025-04-04 20:44:07] ID: 119, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.205, Ports: [67 899 608], Software: Nginx, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 120, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.208, Ports: [43 44 873 958], Software: Nginx, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 121, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.12, Ports: [85 619 168 959 957 300 0], Software: Nginx, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 122, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.65, Ports: [630 657 604 971], Software: OpenSSH, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 123, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.76, Ports: [4 164 761 975], Software: Node.js, OS: Debian 11
[2025-04-04 20:44:07] ID: 124, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.193, Ports: [4 950 766 529 177 20], Software: Node.js, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 125, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.17, Ports: [2 368 528 832 701 810], Software: PHP, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 126, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.71, Ports: [69 396 188], Software: PostgreSQL, OS: CentOS 7
[2025-04-04 20:44:07] ID: 127, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.93, Ports: [4840], Software: MySQL, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 128, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.110, Ports: [8 638 574 319 363 270], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 129, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.173, Ports: [7 18 803 429 841 520], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 130, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.84, Ports: [19 909 985], Software: Nginx, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 131, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.109, Ports: [488 550 651 98], Software: PostgreSQL, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 132, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.162, Ports: [473 575 151 553], Software: Nginx, OS: CentOS 7
[2025-04-04 20:44:07] ID: 133, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.71, Ports: [2 744 301 983 632 870], Software: Nginx, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 134, Type: Malware Infection, Severity: Low, Status: Resolved, IP: 192.168.1.128, Ports: [4879], Software: PHP, OS: Debian 11
[2025-04-04 20:44:07] ID: 135, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.248, Ports: [99 13 608], Software: Node.js, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 136, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.89, Ports: [166 930 617 718], Software: PostgreSQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 137, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.144, Ports: [7195 4406 31 125 403], Software: OpenSSH, OS: CentOS 7
[2025-04-04 20:44:07] ID: 138, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.249, Ports: [3094], Software: Nginx, OS: Debian 11
[2025-04-04 20:44:07] ID: 139, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.176, Ports: [758 565 483 595], Software: Node.js, OS: CentOS 7
[2025-04-04 20:44:07] ID: 140, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.121, Ports: [2 658 189 388 61 820 0], Software: OpenSSH, OS: CentOS 7
[2025-04-04 20:44:07] ID: 141, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.110, Ports: [600 572 11 353 941], Software: Node.js, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 142, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.165, Ports: [79 816 97], Software: Nginx, OS: CentOS 7
[2025-04-04 20:44:07] ID: 143, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.16, Ports: [6 114 797 664 892 730], Software: Nginx, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 144, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.173, Ports: [67 381 354], Software: MySQL, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 145, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.78, Ports: [54 107 835 705 137 300 0], Software: MySQL, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 146, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.88, Ports: [9495], Software: PHP, OS: CentOS 7
[2025-04-04 20:44:07] ID: 147, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.188, Ports: [84 997 992 539 386 400 0], Software: Apache, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 148, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.145, Ports: [140 977 152 904 982], Software: PHP, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 149, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.215, Ports: [29 827 205 114], Software: Apache, OS: Debian 11
[2025-04-04 20:44:07] ID: 150, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.165, Ports: [191 164 564 214], Software: Node.js, OS: Debian 11
[2025-04-04 20:44:07] ID: 151, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.20, Ports: [192 318 601 505], Software: MySQL, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 152, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.78, Ports: [15 879 600 551 750 900 0], Software: OpenSSH, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 153, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.231, Ports: [529 184 746 600], Software: PHP, OS: Ubuntu 20.04
